Case_ID,BUS__CODE,SCORE,A_EmployeeCount,A_GrossSales,A_ExtaxPurch,A_Resales,A_FoodCosts,A_LaborCosts,A_IOC,A_BadDebts,A_TOPP,A_SalesFinal,PriorAuditTax,PriorAuditHours,OwnCode,Status,Y_AuditResult
100000001,"A00149",53,,,,,,,,,,,,,"C","Established","Not_Success"
100000002,"A00132",48,,2201564,5,527673,0,312593,64240,1,0,0,-2658,14,"C","Established","Not_Success"
100000003,"A00132",53,,3667183,4342758,1,0,0,687,7,19143,0,268,53,"C","Established","Success"
100000004,"A00139",57,,89578497,17320,1,0,0,0,7,0,0,9,13,"C","Established","Not_Success"
100000005,"A00137",,,1,81274212,-1556773,0,0,0,8,0,0,,,"G","Established","Success"
100000006,"A00139",51,,,,,,,,,,,1,6,"C","Established","Not_Success"
100000007,"A00132",85,,,,,,,,,,,9207,76,"C","Established","Not_Success"
100000008,"A00126",58,,,,,,,,,,,5,17,"O","Established","Not_Success"
100000009,"A00141",67,,,,,,,,,,,,,"C","Established","Not_Success"
100000010,"A00141",69,,16553374,121530,16543666,0,0,0,9,0,0,16785,157,"C","Established","Success"
100000011,"A00141",79,,,,,,,,,,,,,"C","Established","Not_Success"
100000012,"A00141",70,,38243118,108335,36500979,0,0,866808,7,0,0,1958,46,"C","Established","Not_Success"
100000013,"A00149",60,,,,,,,,,,,10,9,"C","Established","Not_Success"
100000014,"A00140",83,,56154844,305169,56154838,0,0,0,1,0,0,,,"C","Established","Not_Success"
100000015,"A00141",104,,49395707,633373,44100582,0,0,0,133200,0,0,,,"C","Established","Success"
100000016,"A00148",94,,10084942,7458,7737022,0,0,732420,2,0,0,,,"C","Established","Not_Success"
100000017,"A00149",64,,,,,,,,,,,1698,55,"C","Established","Not_Success"
100000018,"A00143",,,,,,,,,,,,,,"C","Established","Not_Success"
100000019,"A00132",92,,75478627,413105,27226432,0,0,39184412,2,0,0,2081,27,"C","Established","Not_Success"
100000020,"A00132",32,,447523,4,447520,0,0,0,1,0,0,,,"S","Established","Not_Success"
100000021,"A00149",92,,38054007,141355,16786483,0,780299,3630956,35515,0,0,6955,47,"C","Established","Success"
100000022,"A00149",111,,,,,,,,,,,,,"C","Established","Not_Success"
100000023,"A00132",,,,,,,,,,,,,,"C","Established","Not_Success"
100000024,"A0055",95,,1668456470,9022841,120911544,661673369,0,0,7,0,0,147932,269,"C","Established","Success"
100000025,"A00142",89,,69677248,426931,69653803,0,0,0,7,0,52638,,,"C","Established","Success"
100000026,"A00149",82,,29431287,8,20382789,0,0,0,35926,0,0,,,"C","Established","Not_Success"
100000027,"A00141",68,,,,,,,,,,,12714,79,"C","Established","Not_Success"
100000028,"A00149",104,,173270131,1868056,3904336,0,0,78520407,4,0,0,,,"C","Established","Not_Success"
100000029,"A00142",65,,,,,,,,,,,6,26,"C","Established","Not_Success"
100000030,"A00128",59,,,,,,,,,,,8,34,"C","Established","Not_Success"
100000031,"A00148",,,,,,,,,,,,,,"C","Established","Not_Success"
100000032,"A00149",96,,22361600,31657,1856350,0,165502,19166127,2,0,0,7508,26,"C","Established","Not_Success"
100000033,"A00148",109,,18354809,4861,2441006,0,1863325,4496806,2,0,0,15757,85,"C","Established","Not_Success"
100000034,"A0074",14,2,,,,,,,,,,,,"S","Established","Not_Success"
100000035,"A0064",57,,,,,,,,,,,1,5,"C","Established","Not_Success"
100000036,"A00139",51,,,,,,,,,,,3,37,"S","Established","Not_Success"
100000037,"A00149",69,,14078069,6,13219173,0,0,0,10,0,0,,,"C","Established","Not_Success"
100000038,"A00139",62,,3246690,196387,3,0,0,0,7,0,2425,2,24,"C","Established","Not_Success"
100000039,"A00135",66,,,,,,,,,,,-16269,56,"C","Established","Not_Success"
100000040,"A00149",77,,,,,,,,,,,,,"C","Established","Not_Success"
100000041,"A0061",39,,954287,479648,5,0,0,0,8,0,0,,,"C","Established","Not_Success"
100000042,"A00126",75,,32986419,477356,2984,30975,0,0,5,0,0,90060,190,"O","Established","Not_Success"
100000043,"A00134",100,,127845,2685467,3,0,0,0,3,1188,6025,,,"O","Established","Not_Success"
100000044,"A00149",88,,194719803,8917,166641734,13909275,0,0,3,0,0,-2844,71,"C","Established","Not_Success"
100000045,"A00149",69,,,,,,,,,,,,,"C","Established","Not_Success"
100000046,"A00149",87,,7651067,13779,1017035,0,3800,4886094,2,0,0,,,"C","Established","Not_Success"
100000047,"A00143",52,,4287604,124797,1424378,0,0,1146997,10,0,0,6,12,"C","Established","Not_Success"
100000048,"A00149",80,,27116598,90666,26932214,0,0,0,5,0,1031250,3345,42,"C","Established","Success"
100000049,"A00149",78,,27116598,203838,26932214,0,0,0,4,0,0,3341,41,"C","Established","Not_Success"
100000050,"A00132",,,,,,,,,,,,,,"C","Established","Not_Success"
100000051,"A00101",,,,,,,,,,,,,,"C","Established","Not_Success"
100000052,"A00149",87,,15944504,329063,3315383,0,0,5291899,2,0,0,-5132,91,"C","Established","Not_Success"
100000053,"A00142",60,,20918403,447501,20827876,0,0,0,9,0,0,,,"C","Established","Not_Success"
100000054,"A00140",100,,644016037,594972,643510523,0,0,0,9,0,0,,,"C","Established","Not_Success"
100000055,"A00136",63,,,,,,,,,,,2,17,"C","Established","Not_Success"
100000056,"A00149",76,,60417437,1,16745214,0,0,38684828,9,0,0,-42,143,"C","Established","Not_Success"
100000057,"A00148",100,,21756470,993448,6762330,0,0,13314720,8,0,0,,,"C","Established","Success"
100000058,"A00132",,,28898745,45846,982802,0,3006001,237641,7,0,0,,,"C","Established","Not_Success"
100000059,"A0068",39,,2954829,3,180392,33794,445839,2850,8,0,0,,,"C","Established","Not_Success"
100000060,"A00149",116,,387668334,3704628,130077880,0,5575,74698027,342258,2194531,28525,,,"C","Established","Not_Success"
100000061,"A00132",51,,,,,,,,,,,4,17,"C","Established","Not_Success"
100000062,"A00149",,,9950419,27593,1947760,0,0,1488736,4,0,0,,,"C","Established","Not_Success"
100000063,"A00149",87,,24672527,13687,16664006,0,0,748180,257,188628,0,,,"C","Established","Not_Success"
100000064,"A00149",70,,20546278,36152,19674293,0,0,0,2,0,10312,,,"C","Established","Not_Success"
100000065,"A00136",84,,,,,,,,,,,,,"C","Established","Not_Success"
100000066,"A00139",82,,27736257,33788,972032,0,0,4489,35325,26618,0,10817,92,"C","Established","Not_Success"
100000067,"A00139",81,,80544676,263216,3,0,80526915,0,10,0,0,,,"C","Established","Not_Success"
100000068,"A00136",108,,64721892,410943,45487812,0,377415,8914096,1,0,72662,15889,178,"C","Established","Not_Success"
100000069,"A00133",83,,,,,,,,,,,9,45,"C","Established","Not_Success"
100000070,"A00149",66,,5450124,5,4852849,0,0,0,6,0,0,-15546,65,"C","Established","Success"
100000071,"A00133",72,,9831241,783,620687,0,89089,245468,1,0,0,7,28,"C","Established","Not_Success"
100000072,"A00139",111,,164723080,608874,15867633,40536,222239,2685013,2,0,0,,,"C","Established","Not_Success"
100000073,"A00141",65,,,,,,,,,,,,,"C","Established","Not_Success"
100000074,"A00141",82,,41327863,16874,10218816,0,0,10378646,7,0,0,7,48,"C","Established","Success"
100000075,"A00149",113,,140913591,139980,110844904,0,0,5255771,64890,0,0,,,"C","Established","Not_Success"
100000076,"A00132",68,,13356669,44828,53850,0,6428406,1001699,2,0,0,,,"C","Established","Not_Success"
100000077,"A0078",49,,,,,,,,,,,,,"C","Established","Not_Success"
100000078,"A00149",76,,,,,,,,,,,1,17,"C","Established","Not_Success"
100000079,"A0077",41,,17030895,2,15430338,0,0,1116,7,0,7738,,,"C","Established","Not_Success"
100000080,"A00148",99,,75166660,1161194,45079133,0,37998,24130734,7,0,0,78572,129,"C","Established","Success"
100000081,"A00142",86,,7638404,2,633273,0,0,522737,27445,0,0,2809,29,"C","Established","Not_Success"
100000082,"A00149",69,,7987295,80858,2913580,0,0,463537,2210,0,0,5,23,"C","Established","Not_Success"
100000083,"A00149",70,,26296496,8,20571663,0,0,0,5,0,0,4,22,"C","Established","Not_Success"
100000084,"A00141",116,,,,,,,,,,,,,"C","Established","Not_Success"
100000085,"A00141",114,,31990491,87869,14875412,0,273481,8674155,3,0,0,22829,90,"C","Established","Not_Success"
100000086,"A00144",110,,177180548,2581384,143061164,0,0,0,10,0,0,,,"C","Established","Not_Success"
100000087,"A00132",101,,19342514,1237003,8,1357215,13240841,0,6,0,0,,,"C","Established","Success"
100000088,"A0069",80,,36173310,258221,860027,0,8921,17302,1,0,5688,,,"C","Established","Success"
100000089,"A00141",51,,,,,,,,,,,6,56,"C","Established","Not_Success"
100000090,"A00136",63,,,,,,,,,,,3,30,"C","Established","Not_Success"
100000091,"A00149",72,,5221035,21829,1364659,0,0,203816,179,58134,0,,,"C","Established","Not_Success"
100000092,"A0069",46,,,,,,,,,,,,,"C","Established","Not_Success"
100000093,"A0059",35,,,,,,,,,,,8,20,"C","Established","Not_Success"
100000094,"A00149",70,,8720315,10,6148238,0,0,0,4,0,0,-14288,37,"C","Established","Not_Success"
100000095,"A0074",19,2,,,,,,,,,,,,"S","Established","Not_Success"
100000096,"A0068",82,,20260591,10,480722,0,459652,325425,1,0,0,7385,149,"C","Established","Not_Success"
100000097,"A00149",,,213459139,1789769,17549651,0,826120,189367976,4,0,0,,,"C","Established","Not_Success"
100000098,"A00141",63,,4013414,6,3988335,0,0,0,7,0,35125,,,"C","Established","Not_Success"
100000099,"A00140",109,,613209458,1287170,501600053,0,0,108004301,7,0,0,63213,318,"C","Established","Success"
100000100,"A00144",41,,,,,,,,,,,4,22,"C","Established","Not_Success"
100000101,"A00143",63,,5124612,542721,32790,0,0,2245795,8,0,0,,,"C","Established","Success"
100000102,"A00149",58,,,,,,,,,,,1,18,"C","Established","Not_Success"
100000103,"A00149",82,,,,,,,,,,,,,"C","Established","Not_Success"
100000104,"A00142",79,,12083982,49809,12049561,0,0,0,1,0,0,6461,62,"C","Established","Not_Success"
100000105,"A00149",65,,,,,,,,,,,,,"C","Established","Not_Success"
100000106,"A00149",63,,,,,,,,,,,,,"C","Established","Not_Success"
100000107,"A0081",57,,2681043,2,193459,0,0,1927292,7,0,0,23230,95,"S","Established","Not_Success"
100000108,"A00149",37,,,,,,,,,,,10,24,"C","Established","Not_Success"
100000109,"A00148",87,,,,,,,,,,,,,"C","Established","Not_Success"
100000110,"A00149",69,,35671218,40882,13251387,0,0,12178800,10,0,0,,,"C","Established","Not_Success"
100000111,"A00136",108,,153128698,704477,15286964,0,0,125434614,734,0,0,28858,130,"C","Established","Not_Success"
100000112,"A0082",41,,,,,,,,,,,,,"S","Established","Not_Success"
100000113,"A00114",102,,504372894,211307,469675495,0,0,0,8,0,25338,,,"C","Established","Not_Success"
100000114,"A0074",35,,,,,,,,,,,,,"S","Established","Not_Success"
100000115,"A00149",91,,,,,,,,,,,,,"C","Established","Not_Success"
100000116,"A0083",61,,,,,,,,,,,3,23,"C","Established","Not_Success"
100000117,"A00133",115,,376623632,32001067,35399774,16897011,210567744,18751255,234355,0,0,,,"C","Established","Not_Success"
100000118,"A00140",97,,619796901,350616,609490811,0,0,0,6,0,0,,,"C","Established","Success"
100000119,"A00129",21,,,,,,,,,,,,,"S","Established","Not_Success"
100000120,"A00132",93,,,,,,,,,,,9,39,"C","Established","Not_Success"
100000121,"A00149",,,22729709,12270,14742062,0,0,2928072,42767,0,0,,,"C","Established","Not_Success"
100000122,"A00141",62,,,,,,,,,,,3,21,"C","Established","Not_Success"
100000123,"A0053",34,,,,,,,,,,,,,"S","Established","Not_Success"
100000124,"A00121",66,,6302516,8,1,38568,5434194,0,5,0,0,,,"C","Established","Not_Success"
100000125,"A00122",45,,5165588,34430,2879280,0,0,0,8,0,0,,,"C","Established","Not_Success"
100000126,"A00149",67,8,,,,,,,,,,5,27,"S","Established","Not_Success"
100000127,"A00100",57,,15812818,2,386863,0,-3389288,0,60442,2885,0,2,32,"C","Established","Success"
100000128,"A00142",76,,,,,,,,,,,10,21,"C","Established","Not_Success"
100000129,"A0085",45,,819653,9,6,0,0,0,2,0,0,15642,92,"P","Established","Not_Success"
100000130,"A00100",21,,,,,,,,,,,,,"S","Established","Not_Success"
100000131,"A00133",78,,8193539,5,2964455,815582,545804,1626039,9,0,0,,,"C","Established","Not_Success"
100000132,"A00144",92,,1037545940,711437,1036586134,0,0,0,6,395923,0,,,"C","Established","Not_Success"
100000133,"A0083",54,,41407300,5543,23148607,17718216,0,6245,8,0,0,,,"C","Established","Not_Success"
100000134,"A00138",58,,10255531,17545,2388710,5060,41062,81,7,0,0,4,17,"C","Established","Not_Success"
100000135,"A00125",56,,17677287,59387,8,0,0,0,6675,0,0,1225,55,"C","Established","Not_Success"
100000136,"A00148",65,10,3125196,6,7,0,2567011,0,5,0,187238,,,"S","Established","Success"
100000137,"A00140",70,,186968586,4229747,2,184305209,0,1290092,2,0,1038,6,19,"C","Established","Not_Success"
100000138,"A00132",39,5,,,,,,,,,,-2443,88,"S","Established","Not_Success"
100000139,"A00142",,,474377247,8043476,79057066,0,0,373044244,3,0,0,,,"C","Established","Success"
100000140,"A0083",26,,330549,1989,9,87919,0,0,2,0,0,,,"S","Established","Not_Success"
100000141,"A0084",75,,,,,,,,,,,-5272,79,"C","Established","Not_Success"
100000142,"A00149",79,,96999139,522839,95382910,0,0,0,3,0,0,,,"C","Established","Not_Success"
100000143,"A0083",41,,212927,9360,10,0,0,0,2,0,0,9,29,"S","Established","Success"
100000144,"A00143",82,,26243428,272702,9537092,0,0,0,163899,0,344362,1184,64,"C","Established","Success"
100000145,"A00129",59,,14863540,9,10,49385,753497,0,63167,0,0,,,"C","Established","Not_Success"
100000146,"A00148",94,,7629070,7,4461471,0,0,23980,13498,0,0,,,"C","Established","Not_Success"
100000147,"A0086",55,3,138704,6,10,0,0,0,7,0,0,,,"S","Established","Not_Success"
100000148,"A00149",87,,21767480,189881,21725853,0,0,0,6,0,0,,,"C","Established","Not_Success"
100000149,"A00149",82,,,,,,,,,,,4176,52,"C","Established","Not_Success"
100000150,"A00141",115,,207371654,826936,162843737,0,0,879457,3,0,0,24932,125,"C","Established","Not_Success"
100000151,"A00136",74,,2309168,1,1138318,0,38222,416016,5,0,0,9,29,"S","Established","Not_Success"
100000152,"A0084",77,,221028471,111046,2,178174788,0,0,1,0,0,,,"C","Established","Not_Success"
100000153,"A00149",53,,,,,,,,,,,2,6,"C","Established","Not_Success"
100000154,"A00149",103,,494935436,1451158,90173518,0,0,403465436,10,0,122062,,,"C","Established","Not_Success"
100000155,"A00149",48,,,,,,,,,,,,,"C","Established","Not_Success"
100000156,"A00149",42,3,275316,3,13097,0,1825,0,7,0,0,,,"S","Established","Not_Success"
100000157,"A00112",49,10,,,,,,,,,,1058,106,"S","Established","Not_Success"
100000158,"A0086",48,,696374,5882,9,0,0,0,15519,0,0,,,"P","Established","Not_Success"
100000159,"A00141",63,,,,,,,,,,,4,36,"C","Established","Not_Success"
100000160,"A00141",,,117928947,821,23400150,0,0,84199897,3,0,0,,,"S","Established","Not_Success"
100000161,"A00135",66,,6586039,5,7,0,0,0,8,0,0,,,"C","Established","Not_Success"
100000162,"A00141",59,,,,,,,,,,,1571,37,"C","Established","Not_Success"
