Variable,Type
Row_ID,Delete
Household_ID,Nominal
Vehicle,Continuous
Calendar_Year,Nominal
Model_Year,Nominal
Blind_Make,Nominal
Blind_Model,Nominal
Blind_Submodel,Nominal
Cat1,Nominal
Cat2,Nominal
Cat3,Nominal
Cat4,Nominal
Cat5,Nominal
Cat6,Nominal
Cat7,Nominal
Cat8,Nominal
Cat9,Nominal
Cat10,Nominal
Cat11,Nominal
Cat12,Nominal
OrdCat,Ordinal
Var1,Continuous
Var2,Continuous
Var3,Continuous
Var4,Continuous
Var5,Continuous
Var6,Continuous
Var7,Continuous
Var8,Continuous
NVCat,Nominal
NVVar1,Continuous
NVVar2,Continuous
NVVar3,Continuous
NVVar4,Continuous
Claim_Amount,Flag_Continuous
