Variable,Type
Sector_score,Continuous
LOCATION_ID,Nominal
PARA_A,Continuous
Score_A,Continuous
Risk_A,Continuous
PARA_B,Continuous
Score_B,Continuous
Risk_B,Continuous
TOTAL,Continuous
numbers,Continuous
Score_B.1,Continuous
Risk_C,Continuous
Money_Value,Continuous
Score_MV,Continuous
Risk_D,Continuous
District_Loss,Continuous
PROB,Continuous
RiSk_E,Continuous
History,Continuous
Prob,Continuous
Risk_F,Continuous
Score,Continuous
Inherent_Risk,Continuous
CONTROL_RISK,Continuous
Detection_Risk,Continuous
Audit_Risk,Continuous
Risk,Flag_Categorical
